,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
656,790277117346975746,13446,3499,Sun Oct 23 19:42:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/aI7umZHIq7
657,790227638568808452,0,3927,Sun Oct 23 16:25:25 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
658,789986466051088384,9918,2547,Sun Oct 23 00:27:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Ln89R4FP7v
659,789960241177853952,0,4552,Sat Oct 22 22:42:52 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
660,789903600034189313,11146,4530,Sat Oct 22 18:57:48 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/P0kSN6rT6H
661,789628658055020548,8063,1959,Sat Oct 22 00:45:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/huPSJJ7FDI
662,789599242079838210,7255,2126,Fri Oct 21 22:48:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0R4meWXFOx
663,789530877013393408,12612,3700,Fri Oct 21 18:16:44 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/TU4sZogVIq
664,789314372632018944,9234,2529,Fri Oct 21 03:56:25 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/G2ms0A5jWM
665,789280767834746880,0,5429,Fri Oct 21 01:42:53 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
666,789268448748703744,9777,2831,Fri Oct 21 00:53:56 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/JSs2bfDtTS
667,789137962068021249,10399,3069,Thu Oct 20 16:15:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2jwxxtNzoN
668,788908386943430656,29383,13597,Thu Oct 20 01:03:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3BXh073tDm
669,788765914992902144,29396,11311,Wed Oct 19 15:37:03 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/x5gXRS1abq
670,788552643979468800,0,7911,Wed Oct 19 01:29:35 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
671,788412144018661376,16709,5817,Tue Oct 18 16:11:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/4DhSsC1W7S
672,788178268662984705,7751,2326,Tue Oct 18 00:41:57 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/s7MgFWDySc
673,788150585577050112,6596,1432,Mon Oct 17 22:51:57 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/xosHjFzVXc
674,788070120937619456,0,3754,Mon Oct 17 17:32:13 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
675,788039637453406209,6578,1453,Mon Oct 17 15:31:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lRmUUOxgbQ
676,787810552592695296,9297,3354,Mon Oct 17 00:20:47 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pNNjBtHWPc
677,787717603741622272,10949,3054,Sun Oct 16 18:11:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/i622ZbWkUp
678,787397959788929025,11620,3111,Sat Oct 15 21:01:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lHVHGdDzb3
679,787322443945877504,8349,1914,Sat Oct 15 16:01:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lsrR83SiVp
680,787111942498508800,0,7370,Sat Oct 15 02:04:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
681,786963064373534720,28482,8761,Fri Oct 14 16:13:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ibj5g6xaAj
682,786729988674449408,0,2649,Fri Oct 14 00:47:00 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
683,786709082849828864,19475,6679,Thu Oct 13 23:23:56 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/yBO5wuqaPS
684,786664955043049472,11414,2813,Thu Oct 13 20:28:35 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/HmlEvAMP4r
685,786595970293370880,10085,3400,Thu Oct 13 15:54:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/L8BWDD4oBX
686,786363235746385920,11683,3843,Thu Oct 13 00:29:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/TVXpEJB7Wn
687,786286427768250368,8529,3138,Wed Oct 12 19:24:27 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/ObT2tSxXit
688,786233965241827333,16393,5236,Wed Oct 12 15:55:59 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2NsFXeX1Io
689,786051337297522688,1542,169,Wed Oct 12 03:50:17 +0000 2016,Twitter for iPhone,Original tweet,t
690,786036967502913536,0,7753,Wed Oct 12 02:53:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
691,785927819176054784,12163,3470,Tue Oct 11 19:39:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lntsj7Fc4Y
692,785872687017132033,7150,2004,Tue Oct 11 16:00:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1j9kLGb4wV
693,785639753186217984,8355,2432,Tue Oct 11 00:34:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/aBsZTpv6mM
694,785533386513321988,9745,2193,Mon Oct 10 17:32:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/h4jhlH4EyG
695,785515384317313025,6522,1376,Mon Oct 10 16:20:36 +0000 2016,Twitter for iPhone,Original tweet,y
696,785264754247995392,7766,1792,Sun Oct 09 23:44:41 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/mWYACm4qnx
697,785170936622350336,12947,5334,Sun Oct 09 17:31:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/rKCJnWRpR2
698,784826020293709826,10848,3540,Sat Oct 08 18:41:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/AsykOwMrXQ
699,784517518371221505,9587,2780,Fri Oct 07 22:15:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/p6fgYe2dB6
700,784431430411685888,6087,1405,Fri Oct 07 16:33:21 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PHA1vtqqpt
701,784183165795655680,21519,8836,Fri Oct 07 00:06:50 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/t0cEeRbcXJ
702,784057939640352768,31967,12206,Thu Oct 06 15:49:14 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/T7Jr4Gw4sC
703,783839966405230592,32140,11830,Thu Oct 06 01:23:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KOTzaG7hiq
704,783821107061198850,7862,2146,Thu Oct 06 00:08:09 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/STcPjiNAHp
705,783695101801398276,11170,3532,Wed Oct 05 15:47:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/iwUv1KnD1P
706,783466772167098368,9032,2466,Wed Oct 05 00:40:09 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/UAw6F2p7ta
